poll_id,study_id,release_version,pollster_id,sponsor_id,source_url,raw_hash,field_start,field_end,published_at,corrected_at,retrieved_at,valid_from,valid_to,available_at,event_time,election_id,office,state,race_id,population,sample_size,mode,dem_share,rep_share,undecided,other_share,two_party_margin,partisan,exclusion_status,exclusion_reason,parser_version,normalized_at,supersedes,geography_version_id,candidate_set_version,question_id,frame,recruitment,language,design_effect,leaners_included,multiway,questionnaire_hash,dem_candidate_id,dem_candidate_name,rep_candidate_id,rep_candidate_name,matchup_id,hypothetical,contest_kind,seat_name,election_stage
poll-2014-AK-0-116,study-2014-AK-Data for Progress-2014-07-11,1,Data for Progress,none,synthetic://fixtures/polls,9caff431296302953a100507fea717f9c97d1ccec5082f1892a90f38ed56ef66,2014-07-08,2014-07-11,2014-07-12,,2026-09-18T01:50:26.275876+00:00,2014-07-12,,2014-07-12,2014-07-11,senate-2014,US_SENATE,AK,senate-2014-AK,RV,600,Live Phone,48.36,51.64,3.02,1.54,-3.277,False,include,,fixtures-v1,2026-09-18T01:50:26.275876+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AK-1-31,study-2014-AK-RMG Research-tracker,1,RMG Research,none,synthetic://fixtures/polls,e592754e2ed53842b54af362dda6ee6544029fbf52ac64fce0c8fb9f558cf07e,2014-10-04,2014-10-07,2014-10-08,,2026-09-18T01:50:26.275876+00:00,2014-10-08,,2014-10-08,2014-10-07,senate-2014,US_SENATE,AK,senate-2014-AK,RV,600,IVR/Online,45.68,54.32,4.48,0.76,-8.637,False,include,,fixtures-v1,2026-09-18T01:50:26.275876+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AK-2-2,study-2014-AK-RMG Research-tracker,1,RMG Research,none,synthetic://fixtures/polls,129aacf0d11b0ac373da616c3ab28ab664ccbea3a73e0d58fd3df044c415c117,2014-10-03,2014-10-06,2014-10-07,,2026-09-18T01:50:26.275876+00:00,2014-10-07,,2014-10-07,2014-10-06,senate-2014,US_SENATE,AK,senate-2014-AK,LV,400,IVR/Online,48.82,51.18,3.32,0.95,-2.368,False,include,,fixtures-v1,2026-09-18T01:50:26.275876+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AK-3-44,study-2014-AK-RMG Research-tracker,1,RMG Research,none,synthetic://fixtures/polls,9233af55a7145d4d839157e13035f0d941168388c943455a53c3158a929e2c6f,2014-10-02,2014-10-05,2014-10-06,,2026-09-18T01:50:26.275876+00:00,2014-10-06,,2014-10-06,2014-10-05,senate-2014,US_SENATE,AK,senate-2014-AK,LV,600,Online,44.59,55.41,5.92,0.86,-10.819,False,include,,fixtures-v1,2026-09-18T01:50:26.275876+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AK-4-98,study-2014-AK-SurveyUSA-2014-07-29,1,SurveyUSA,none,synthetic://fixtures/polls,3133092ae1ccc1364e83d9fc73d8a1594bd95489125c6c9e30d99ac65d7e79bb,2014-07-25,2014-07-29,2014-07-30,,2026-09-18T01:50:26.275876+00:00,2014-07-30,,2014-07-30,2014-07-29,senate-2014,US_SENATE,AK,senate-2014-AK,LV,900,Online,41.79,58.21,5.33,1.57,-16.422,False,include,,fixtures-v1,2026-09-18T01:50:26.275876+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AK-5-52,study-2014-AK-Marist-2014-09-13,1,Marist,none,synthetic://fixtures/polls,f25297a5417b9ea2faf2c5e0b5c95b2c590fec290b6a180bebcc3c9bcb552275,2014-09-11,2014-09-13,2014-09-14,,2026-09-18T01:50:26.275876+00:00,2014-09-14,,2014-09-14,2014-09-13,senate-2014,US_SENATE,AK,senate-2014-AK,RV,500,IVR/Online,44.89,55.11,3.82,1.54,-10.216,False,include,,fixtures-v1,2026-09-18T01:50:26.275876+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AK-6-82,study-2014-AK-Quinnipiac-2014-08-14,1,Quinnipiac,none,synthetic://fixtures/polls,180f13c3e4a0195190d76f7a752aff0cd1005fa36123c2438c7d927b47c893c1,2014-08-10,2014-08-14,2014-08-14,,2026-09-18T01:50:26.275876+00:00,2014-08-14,,2014-08-14,2014-08-14,senate-2014,US_SENATE,AK,senate-2014-AK,LV,900,IVR/Online,48.97,51.03,4.0,1.42,-2.054,False,include,,fixtures-v1,2026-09-18T01:50:26.276882+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AK-7-53,study-2014-AK-Trafalgar-2014-09-12,1,Trafalgar,none,synthetic://fixtures/polls,aead1fac788ee433b53d4a15e6a8a31476f0236fabc7c1f1c5b6a20322f90e1e,2014-09-10,2014-09-12,2014-09-12,,2026-09-18T01:50:26.276882+00:00,2014-09-12,,2014-09-12,2014-09-12,senate-2014,US_SENATE,AK,senate-2014-AK,RV,500,Live Phone,43.76,56.24,3.29,0.62,-12.478,False,include,,fixtures-v1,2026-09-18T01:50:26.276882+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AK-8-134,study-2014-AK-Marist-2014-06-23,1,Marist,none,synthetic://fixtures/polls,288e1896e9ba323b2d41257855c5b9aed1d31e7ed57f276bd4a6aa5bd4d5be53,2014-06-20,2014-06-23,2014-06-23,,2026-09-18T01:50:26.276882+00:00,2014-06-23,,2014-06-23,2014-06-23,senate-2014,US_SENATE,AK,senate-2014-AK,LV,400,Online,47.18,52.82,4.26,0.9,-5.648,False,include,,fixtures-v1,2026-09-18T01:50:26.276882+00:00,,,,,,,,,,,,,,,,,,,,
poll-2014-AK-9-57,study-2014-AK-Marist-2014-09-08,1,Marist,none,synthetic://fixtures/polls,27067b51452544ec0d66ed4f3955888b7e6406b4a0e6a43799c9d3a477f73882,2014-09-04,2014-09-08,2014-09-09,,2026-09-18T01:50:26.276882+00:00,2014-09-09,,2014-09-09,2014-09-08,senate-2014,US_SENATE,AK,senate-2014-AK,LV,400,IVR/Online,50.83,49.17,4.51,0.93,1.667,False,include,,fixtures-v1,2026-09-18T01:50:26.276882+00:00,,,,,,,,,,,,,,,,,,,,
